RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,TO SECURITY GROUP,FROM TYPE,DESCRIPTION,DIRECTION,Notes
98,MGMTTemp,53,53,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
99,MGMTTemp,88,88,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
100,MGMTTemp,123,123,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
101,MGMTTemp,138,138,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
102,MGMTTemp,389,389,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
103,MGMTTemp,445,445,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
104,MGMTTemp,464,464,udp,Active Directory,Group,MGMTTemp to Active Directory,Traversal,
105,MGMTTemp,4122,4122,tcp,Mgt_Trend,Group,MGMTTemp to Mgt_Trend,Traversal,
106,MGMTTemp,443,443,tcp,Mgt_Private_Link,Group,MGMTTemp to Mgt_Private_Link,Traversal,
107,MGMTTemp,80,80,tcp,Mgt_ToolingALB-06,Group,MGMTTemp to Mgt_ToolingALB-06,Traversal,
108,MGMTTemp,443,443,tcp,Mgt_EnterpriseALB-05,Group,MGMTTemp to Mgt_EnterpriseALB-05,Traversal,
109,MGMTTemp,8081,8081,tcp,Mgt_ToolingALB-06,Group,MGMTTemp to Mgt_ToolingALB-06,Traversal,
110,Mgt_AWX,5432,5432,tcp,Mgt_PostgreSQL,Group,Mgt_AWX to Mgt_PostgreSQL,Traversal,
111,Mgt_AWX,22,22,tcp,MGMTTemp,Group,Mgt_AWX to MGMTTemp,Traversal,
112,Mgt_AWX,22,22,tcp,APPDATATemp,Group,Mgt_AWX to APPDATATemp,Traversal,
113,Mgt_AWX,22,22,tcp,DMZTemp,Group,Mgt_AWX to DMZTemp,Traversal,
114,Mgt_AWX,5985,5986,tcp,MGMTTemp,Group,Mgt_AWX to MGMTTemp,Traversal,
115,Mgt_AWX,5985,5986,tcp,APPDATATemp,Group,Mgt_AWX to APPDATATemp,Traversal,
116,Mgt_AWX,5985,5986,tcp,DMZTemp,Group,Mgt_AWX to DMZTemp,Traversal,
117,Mgt_AWX,22,22,tcp,Mgt_RHEL_Instances,Group,Mgt_AWX to Mgt_RHEL_Instances,Traversal,
118,Mgt_AWX,5985,5986,tcp,Mgt_Windows_Instances,Group,Mgt_AWX to Mgt_Windows_Instances,Traversal,
119,Mgt_AWX,22,22,tcp,dmz_RHEL_Instances,Group,Mgt_AWX to dmz_RHEL_Instances,Traversal,
120,Mgt_AWX,5985,5986,tcp,dmz_Windows_Instances,Group,Mgt_AWX to dmz_Windows_Instances,Traversal,
121,Mgt_AWX,22,22,tcp,AppD_RHEL_Instances,Group,Mgt_AWX to AppD_RHEL_Instances,Traversal,
122,Mgt_AWX,5985,5986,tcp,AppD_Windows_Instances,Group,Mgt_AWX to AppD_Windows_Instances,Traversal,
123,Mgt_C2SVPN,443,443,tcp,Mgt_BndrySvcALB-16,Group,Mgt_C2SVPN to Mgt_BndrySvcALB-16,Ingress,
124,Mgt_C2SVPN,22,22,tcp,MGMTTemp,Group,Mgt_C2SVPN to MGMTTemp,Ingress,
125,Mgt_C2SVPN,22,22,tcp,APPDATATemp,Group,Mgt_C2SVPN to APPDATATemp,Ingress,
126,Mgt_C2SVPN,22,22,tcp,DMZTemp,Group,Mgt_C2SVPN to DMZTemp,Ingress,
127,Mgt_C2SVPN,5985,5985,tcp,MGMTTemp,Group,Mgt_C2SVPN to MGMTTemp,Ingress,
128,Mgt_C2SVPN,5985,5985,tcp,APPDATATemp,Group,Mgt_C2SVPN to APPDATATemp,Ingress,
129,Mgt_C2SVPN,5985,5985,tcp,DMZTemp,Group,Mgt_C2SVPN to DMZTemp,Ingress,
130,Mgt_C2SVPN,5986,5986,tcp,MGMTTemp,Group,Mgt_C2SVPN to MGMTTemp,Ingress,
131,Mgt_C2SVPN,5986,5986,tcp,APPDATATemp,Group,Mgt_C2SVPN to APPDATATemp,Ingress,
132,Mgt_C2SVPN,5986,5986,tcp,DMZTemp,Group,Mgt_C2SVPN to DMZTemp,Ingress,
133,Mgt_C2SVPN,443,443,tcp,Mgt_BndrySvcALB-07,Group,Mgt_C2SVPN to Mgt_BndrySvcALB-07,Ingress,
134,Mgt_BndrySvcALB-07,443,443,tcp,Mgt_RevProxy,Group,Mgt_BndrySvcALB-07 to Mgt_RevProxy,Ingress,
135,Mgt_BndrySvcALB-07,80,80,tcp,Mgt_RevProxy,Group,Mgt_BndrySvcALB-07 to Mgt_RevProxy,Ingress,
