RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
42,dmz_S2SVPN,500,500,udp,10.10.100.64/32,CIDR,10.10.100.64/32 to connect via 500 to dmz_S2SVPN,Ingress,SG DNS
43,MGMTTemp,22,22,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 22 to MGMTTemp,Traversal,
44,DMZTemp,22,22,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 22 to DMZTemp,Traversal,
45,APPDATATemp,22,22,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 22 to APPDATATemp,Traversal,
46,MGMTTemp,22,22,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 22 to MGMTTemp,Ingress,
47,DMZTemp,22,22,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 22 to DMZTemp,Ingress,
48,APPDATATemp,22,22,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 22 to APPDATATemp,Ingress,
49,MGMTTemp,22,22,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 22 to MGMTTemp,Ingress,
50,DMZTemp,22,22,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 22 to DMZTemp,Ingress,
51,APPDATATemp,22,22,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 22 to APPDATATemp,Ingress,
52,MGMTTemp,5985,5985,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5985 to MGMTTemp,Ingress,
53,DMZTemp,5985,5985,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5985 to DMZTemp,Ingress,
54,APPDATATemp,5985,5985,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5985 to APPDATATemp,Ingress,
55,MGMTTemp,5986,5986,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5986 to MGMTTemp,Ingress,
56,DMZTemp,5986,5986,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5986 to DMZTemp,Ingress,
57,APPDATATemp,5986,5986,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5986 to APPDATATemp,Ingress,
58,MGMTTemp,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to MGMTTemp,Ingress,
59,MGMTTemp,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to MGMTTemp,Ingress,
60,DMZTemp,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to DMZTemp,Ingress,
61,DMZTemp,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to DMZTemp,Ingress,
